Rk,Player,Tm,Age,POS,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
131,Dan Arnold,2TM,26,TE,11,4,52,35,408,0,20,220,6.3,188,5.4,6.5,2,17.5,2,3.8,0,90.9
132,Gabriel Davis,BUF,22,WR,16,4,63,35,549,6,29,409,11.7,140,4,13.3,1,35,5,7.9,2,103.2
133,Michael Gallup,DAL,25,WR,9,8,62,35,445,2,23,322,9.2,123,3.5,11.5,1,35,3,4.8,0,89.8
135,Corey Davis,NYJ,26,WR,9,9,59,34,492,4,23,368,10.8,124,3.6,13.1,2,17,5,8.5,5,72.1
137,Bryan Edwards,LVR,23,WR,16,12,59,34,571,3,26,381,11.2,190,5.6,14,6,5.7,1,1.7,0,107.4
141,Donovan Peoples-Jones,CLE,22,WR,14,9,58,34,597,3,26,451,13.3,146,4.3,15.4,4,8.5,3,5.2,3,89.5
143,Nico Collins,HOU,22,WR,14,8,60,33,446,1,22,313,9.5,133,4,10.6,0,,1,1.7,1,77.5
148,Jalen Reagor,PHI,22,WR,17,13,57,33,299,2,13,148,4.5,151,4.6,9.6,1,33,4,7,2,69.3
149,Laquon Treadwell,JAX,26,WR,12,7,51,33,434,1,22,308,9.3,126,3.8,11.9,3,11,3,5.9,1,89.8
152,Tre'Quan Smith,NOR,25,WR,11,6,50,32,377,3,18,264,8.3,113,3.5,9.6,2,16,2,4,1,98.5
155,Calvin Ridley,ATL,27,WR,5,5,52,31,281,2,16,190,6.1,91,2.9,10,1,31,3,5.8,1,79.1
158,Olamide Zaccheaus,ATL,24,WR,17,8,53,31,406,3,22,312,10.1,94,3,9,0,,2,3.8,2,85.9
159,Cameron Brate,TAM,30,TE,17,3,57,30,245,4,15,164,5.5,81,2.7,7.6,0,,3,5.3,0,87.2
169,Keelan Cole,NYJ,28,WR,15,11,51,28,449,1,20,364,13,85,3,13.5,0,,1,2,4,58.4
182,Darius Slayton,NYG,24,WR,13,5,58,26,339,2,14,274,10.5,65,2.5,13.3,1,26,6,10.3,3,53.7
183,Marquez Valdes-Scantling,GNB,27,WR,11,7,55,26,430,3,18,284,10.9,146,5.6,17.9,0,,0,0,1,84.7
